Nº ESTAÇÃO,	Data e Hora,	Latitude,	Longitude
002,	Jan 16 2019 21:21:57,	38 26.99 S,	052 53.48 W
003,	Jan 17 2019 09:09:24,	39 32.86 S,	054 23.47 W
003b,	Jan 17 2019 09:51:02,	39 32.86 S,	054 23.47 W
003c,	Oct 17 2019 10:25:40,	39 32.86 S,	054 23.47 W
004,	Oct 17 2019 15:31:47,	39 58.92 S,	054 59.71 W
004b,	Oct 17 2019 16:47:40,	39 58.14 S,	054 59.70 W
005,	Oct 19 2019 13:59:02,	45 12.86 S,	051 09.01 W
006,	Oct 19 2019 17:49:21,	45 04.05 S,	051 28.82 W
007,	Oct 19 2019 21:28:45,	44 52.70 S,	051 46.25 W
008,	Oct 20 2019 01:25:54,	44 37.30 S,	052 09.37 W
008B,	Oct 20 2019 02:21:12,	44 36.43 S,	052 08.36 W
009,	Oct 20 2019 07:17:42,	44 15.92 S,	052 42.25 W
009B,	Oct 20 2019 08:24:01,	44 15.92 S,	052 42.25 W
010,	Oct 20 2019 12:04:22,	43 58.12 S,	053 08.81 W
011,	Oct 20 2019 16:07:37,	43 42.36 S,	053 22.51 W
012,	Oct 20 2019 19:38:05,	43 26.50 S,	053 36.73 W
013,	Nov 05 2019 02:47:10,	62 08.60 S,	058 24.71 W
013a,	Nov 05 2019 03:14:19,	62 08.60 S,	058 24.70 W
013b,	Nov 05 2019 03:39:39,	62 08.60 S,	058 24.70 W
014,	Nov 05 2019 06:03:04,	62 11.37 S,	058 03.45 W
014b,	Nov 05 2019 06:44:07,	62 11.38 S,	058 03.45 W
015,	Nov 05 2019 09:00:03,	62 18.48 S,	058 32.77 W
015b,	Nov 05 2019 09:48:22,	62 18.48 S,	058 32.77 W
016,	Nov 05 2019 11:56:34,	62 13.34 S,	058 12.68 W
016b,	Nov 05 2019 12:41:07,	62 13.34 S,	058 12.67 W
017,	Nov 05 2019 14:37:33,	62 16.17 S,	058 26.27 W
017b,	Nov 05 2019 15:20:15,	62 16.17 S,	058 26.27 W
018,	Nov 05 2019 17:24:22,	62 10.02 S,	058 22.53 W
018Bb,	Nov 05 2019 18:22:12,	62 10.02 S,	058 22.53 W
018b,	Nov 05 2019 18:22:12,	62 10.02 S,	058 22.53 W
019,	Nov 22 2019 11:08:24,	62 12.52 S,	058 17.99 W
020,	Nov 22 2019 12:22:40,	62 13.02 S,	058 20.27 W
020b,	Nov 22 2019 12:53:38,	62 13.02 S,	058 20.27 W
021,	Nov 22 2019 13:35:38,	62 13.30 S,	058 22.74 W
022,	Nov 22 2019 17:26:52,	62 12.34 S,	058 18.00 W
023,	Nov 22 2019 18:35:31,	62 12.78 S,	058 20.56 W
024,	Nov 22 2019 19:55:17,	62 13.17 S,	058 22.76 W
