Nº ESTAÇÃO	Mark Scan
001		6234
002		6168
003		3446
005		2485
007		6035
008		2425
009		1964
010		2558
011		2975
012		1970
013		2276
014		2476
015		978
016		2196
017		2521
018		1951
019		2304
020		7070
021		2331
022		2519
023		5772
024		2079
025		2058
026		2821
027		2366
028		2597
029		4013
030		2207
031		6324
032		3004
033		1469
034		963
035		1554
036		3216
037		3620
038		3339
039		3529
040		3278
041		2059
042		3703
043		2096
044		1827
045		2867
046		2350
047		3542
048		2008
049		3896
050		3881
051		3733
052		4367
053		731
054		2609
